angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
3.5,-0.272,3.666,0.0,0.0,0.37,0.152,7.201,0.006,0.449,0.439,1302.379,1.0,9.388,3.676,-0.02,-0.001,-0.0,-16.437,0.07,15.621,0.197,0.511,0.05,0.687,0.272,-3.666
3.6,-0.295,3.69,0.0,0.0,0.359,0.153,7.201,0.006,0.45,0.439,1319.786,1.0,9.389,3.702,-0.012,0.0,0.0,17.407,0.026,15.555,0.195,0.503,0.049,0.685,0.295,-3.69
3.7,-0.315,3.766,0.0,0.0,0.342,0.152,7.201,0.006,0.449,0.443,1309.227,1.0,9.395,3.779,-0.017,-0.001,-0.0,-10.559,0.077,15.527,0.193,0.496,0.047,0.684,0.315,-3.766
3.8,-0.759,4.73,0.0,0.0,0.385,0.152,7.201,0.006,0.449,0.439,1298.964,1.0,9.4,4.79,0.044,0.0,-0.0,-10.263,1.011,15.484,0.191,0.488,0.046,0.683,0.759,-4.73
3.9,-0.952,4.343,0.0,0.0,0.366,0.152,7.201,0.006,0.449,0.443,1299.442,1.0,9.401,4.446,-0.02,0.0,0.0,0.477,-0.344,15.437,0.189,0.481,0.044,0.683,0.952,-4.343
4.0,-0.965,4.417,0.0,0.0,0.361,0.15,7.2,0.006,0.441,0.435,1262.82,1.0,9.403,4.521,-0.005,-0.001,-0.0,-36.621,0.075,15.451,0.187,0.474,0.043,0.682,0.965,-4.417
4.1,-0.789,4.917,0.0,0.0,0.372,0.151,7.2,0.006,0.447,0.439,1305.436,1.0,9.404,4.98,0.011,0.0,0.0,42.616,0.458,15.364,0.185,0.466,0.042,0.681,0.789,-4.917
4.2,-1.006,4.456,0.0,0.0,0.335,0.151,7.2,0.006,0.447,0.439,1297.577,1.0,9.41,4.568,-0.037,-0.0,-0.0,-7.859,-0.412,15.328,0.182,0.459,0.041,0.68,1.006,-4.456
4.3,-0.179,4.6,0.0,0.0,0.321,0.152,7.199,0.006,0.451,0.443,1319.216,1.0,9.412,4.603,-0.014,-0.001,0.0,21.639,0.035,15.253,0.179,0.452,0.04,0.679,0.179,-4.6
4.4,-1.047,4.532,0.0,0.0,0.316,0.152,7.199,0.006,0.449,0.443,1308.025,1.0,9.417,4.651,-0.005,0.0,-0.0,-11.191,0.048,15.235,0.177,0.446,0.039,0.679,1.047,-4.532
4.5,-0.992,4.52,0.0,0.0,0.304,0.151,7.199,0.006,0.447,0.435,1300.482,1.0,9.419,4.628,-0.013,0.0,-0.0,-7.544,-0.023,15.216,0.175,0.439,0.038,0.679,0.992,-4.52
4.6,-1.039,4.601,0.0,0.0,0.289,0.151,7.199,0.006,0.447,0.439,1301.96,1.0,9.421,4.717,-0.015,-0.0,-0.0,1.479,0.089,15.183,0.173,0.433,0.037,0.678,1.039,-4.601
4.7,-0.839,5.256,0.0,0.0,0.326,0.15,7.198,0.006,0.445,0.439,1282.097,1.0,9.428,5.323,0.037,-0.001,-0.0,-19.863,0.606,15.172,0.171,0.427,0.036,0.677,0.839,-5.256
4.8,-0.865,5.245,0.0,0.0,0.32,0.152,7.198,0.006,0.449,0.443,1305.827,1.0,9.434,5.316,-0.006,-0.0,0.0,23.73,-0.007,15.11,0.169,0.421,0.035,0.676,0.865,-5.245
4.9,-0.855,5.211,0.0,0.0,0.309,0.151,7.198,0.006,0.447,0.439,1288.43,1.0,9.439,5.281,-0.011,-0.0,-0.0,-17.397,-0.035,15.099,0.167,0.416,0.034,0.676,0.855,-5.211
5.0,-0.887,5.245,0.0,0.0,0.304,0.151,7.196,0.006,0.449,0.443,1290.914,1.0,9.444,5.319,-0.006,-0.002,0.0,2.484,0.038,15.057,0.166,0.41,0.034,0.676,0.887,-5.245
-5.0,-3.899,-0.049,0.0,0.0,0.176,0.108,6.309,0.006,0.626,0.627,3543.903,1.0,15.243,3.899,0.162,-0.002,0.0,206.757,-46.742,17.039,0.048,0.333,0.016,0.751,3.899,0.049
-4.9,43.365,26.154,0.0,0.0,0.014,0.105,6.31,0.006,0.6,0.604,3337.146,1.0,15.161,50.641,0.002,0.0,0.0,205.872,21.442,17.206,0.051,0.341,0.016,0.75,-43.365,-26.154
-4.8,26.059,13.171,0.0,0.0,0.012,0.101,6.31,0.005,0.583,0.588,3131.274,1.0,15.217,29.199,-0.013,0.001,-0.0,-218.838,-12.308,17.205,0.054,0.35,0.017,0.75,-26.059,-13.171
-4.7,37.677,17.413,0.0,0.0,0.025,0.105,6.31,0.006,0.595,0.596,3350.112,1.0,15.08,41.506,-0.012,-0.001,-0.001,-466.46,0.796,17.212,0.056,0.351,0.017,0.751,-37.677,-17.413
-4.6,36.683,17.655,0.0,0.0,0.037,0.112,6.311,0.007,0.615,0.62,3816.572,1.0,14.826,40.711,0.0,0.002,0.0,210.19,0.135,17.028,0.055,0.348,0.017,0.752,-36.683,-17.655
-4.5,36.565,17.588,0.0,0.0,0.037,0.109,6.309,0.006,0.618,0.62,3606.382,1.0,15.08,40.575,-0.149,0.002,0.0,112.411,37.356,17.141,0.058,0.356,0.018,0.752,-36.565,-17.588
-4.4,-3.206,-0.302,0.0,0.0,0.187,0.108,6.307,0.006,0.617,0.62,3493.971,1.0,15.171,3.22,0.061,-0.001,-0.001,-408.874,-1.374,17.215,0.06,0.362,0.018,0.751,3.206,0.302
-4.3,-2.996,3.483,0.0,0.0,0.126,0.113,6.309,0.007,0.614,0.62,3902.845,1.0,14.676,4.594,0.095,-0.001,0.0,81.608,-9.213,17.025,0.06,0.361,0.019,0.752,2.996,-3.483
-4.2,0.644,-13.792,0.0,0.0,0.031,0.112,6.309,0.007,0.624,0.627,3821.237,1.0,14.92,13.807,-0.002,0.0,0.0,180.446,-0.172,17.047,0.062,0.367,0.019,0.753,-0.644,13.792
-4.1,0.27,-13.976,0.0,0.0,0.034,0.109,6.309,0.006,0.65,0.655,3640.79,1.0,15.468,13.978,-0.185,0.002,0.0,292.779,10.903,16.857,0.065,0.374,0.02,0.753,-0.27,13.976
-4.0,-3.066,-0.236,0.0,0.0,0.219,0.105,6.307,0.006,0.647,0.651,3348.011,1.0,15.772,3.075,-0.007,0.001,-0.0,-92.332,0.028,17.063,0.068,0.381,0.021,0.752,3.066,0.236
-3.9,-3.04,-0.207,0.0,0.0,0.227,0.107,6.306,0.006,0.635,0.639,3440.343,1.0,15.482,3.047,0.034,-0.003,-0.0,-185.024,-0.95,17.186,0.069,0.383,0.021,0.752,3.04,0.207
-3.8,-0.962,-3.879,0.0,0.0,0.192,0.109,6.309,0.006,0.633,0.635,3625.367,1.0,15.244,3.997,-0.045,-0.001,-0.0,-45.838,0.97,17.139,0.07,0.383,0.022,0.752,0.962,3.879
-3.7,-3.021,-0.184,0.0,0.0,0.237,0.11,6.31,0.006,0.625,0.627,3671.205,1.0,15.074,3.027,0.238,0.002,-0.0,-8.27,-27.312,17.192,0.07,0.385,0.022,0.753,3.021,0.184
-3.6,12.159,-27.796,0.0,0.0,-0.002,0.111,6.308,0.006,0.634,0.639,3679.475,1.0,15.167,30.339,-0.004,0.002,0.0,157.675,12.605,17.114,0.072,0.388,0.023,0.753,-12.159,27.796
-3.5,6.721,16.411,0.0,0.0,0.002,0.109,6.305,0.006,0.624,0.627,3521.8,1.0,15.183,17.734,-0.245,-0.002,0.0,174.729,15.78,17.291,0.072,0.393,0.024,0.753,-6.721,-16.411
-3.4,0.794,1.785,0.0,0.0,0.247,0.106,6.307,0.006,0.596,0.6,3347.071,1.0,15.007,1.954,-0.006,-0.005,0.0,9.548,0.057,17.39,0.072,0.4,0.025,0.753,-0.794,-1.785
-3.3,0.814,1.714,0.0,0.0,0.253,0.105,6.312,0.006,0.578,0.58,3337.523,1.0,14.832,1.897,-0.064,-0.001,-0.0,-34.203,1.025,17.235,0.072,0.406,0.026,0.753,-0.814,-1.714
